Dia;DolarOficial;DolarBlue
2022-06-16;122.9;216.0
2022-06-21;123.69;220.0
2022-06-22;123.86;224.0
2022-06-23;124.03;224.0
2022-06-24;124.26;226.0
2022-06-27;124.71;232.0
2022-06-28;124.88;239.0
2022-06-29;125.05;239.0
2022-06-30;125.22;238.0
2022-07-01;125.41;239.0
2022-07-04;125.99;260.0
2022-07-05;126.18;252.0
2022-07-06;126.38;255.0
2022-07-07;126.57;257.0
2022-07-08;126.78;273.0
2022-07-11;127.37;268.0
2022-07-12;127.57;272.0
2022-07-13;127.79;283.0
2022-07-14;128.02;289.0
2022-07-15;128.23;293.0
2022-07-18;128.9;291.0
2022-07-19;129.13;301.0
2022-07-20;129.39;317.0
2022-07-21;129.61;337.0
2022-07-22;129.76;338.0
2022-07-25;130.4;322.0
2022-07-26;130.62;323.0
2022-07-27;130.89;326.0
2022-07-28;131.13;314.0
2022-07-29;131.23;296.0
2022-08-01;131.94;282.0
2022-08-02;132.18;291.0
2022-08-03;132.41;298.0
2022-08-04;132.64;291.0
